source,target,type
ก๔๖,ก๔๖_8,broader
ก๔๖,ก๔๖_9,broader
ก๔๗,ก๔๗_1,broader
ก๔๗,ก๔๗_2,broader
ก๔๘,ก๔๘_1,broader
ก๔๘,ก๔๘_2,broader
ก๔๘,ก๔๘_3,broader
ก๔๘,ก๔๘_4,broader
ก๔๙,ก๔๙_1,broader
ก๔๙,ก๔๙_2,broader
ก๔๙,ก๔๙_3,broader
ก๕๐,ก๕๐_1,broader
ก๕๐,ก๕๐_2,broader
ก๕๐,ก๕๐_3,broader
ก๕๐,ก๕๐_4,broader
ก๕๑,ก๕๑_1,broader
ก๕๑,ก๕๑_2,broader
ก๕๒,ก๕๒_1,broader
ก๕๒,ก๕๒_2,broader
ก๕๒,ก๕๒_3,broader
ก๕๒,ก๕๒_4,broader
ก๕๒,ก๕๒_5,broader
ก๕๒,ก๕๒_6,broader
ก๕๒,ก๕๒_7,broader
ก๕๒,ก๕๒_8,broader
ก๕๓,ก๕๓_1,broader
ก๕๔,ก๕๔_1,broader
ก๕๔,ก๕๔_2,broader
ก๕๔,ก๕๔_3,broader
ก๕๔,ก๕๔_4,broader
ก๕๔,ก๕๔_5,broader
ก๕๔,ก๕๔_6,broader
ก๕๔,ก๕๔_7,broader
ก๕๔,ก๕๔_8,broader
ก๕๔,ก๕๔_9,broader
ก๕๔,ก๕๔_10,broader
ก๕๔,ก๕๔_11,broader
ก๕๔,ก๕๔_12,broader
ก๕๔,ก๕๔_13,broader
ก๖๐,ก๖๐_1,broader
ก๖๐,ก๖๐_2,broader
ก๖๐,ก๖๐_3,broader
ก๖๐,ก๖๐_4,broader
ก๖๐,ก๖๐_5,broader
ก๖๐,ก๖๐_6,broader
ก๖๐,ก๖๐_7,broader
ก๖๐,ก๖๐_8,broader
ก๖๑,ก๖๑_1,broader
ก๖๑,ก๖๑_2,broader
ก๖๑,ก๖๑_3,broader
ก๖๑,ก๖๑_4,broader
ก๖๒,ก๖๒_1,broader
ก๖๒,ก๖๒_2,broader
ก๖๒,ก๖๒_3,broader
ก๖๒,ก๖๒_4,broader
ก๖๓,ก๖๓_1,broader
ก๖๓,ก๖๓_2,broader
ก๖๓,ก๖๓_3,broader
ก๖๓,ก๖๓_4,broader
ก๖๔,ก๖๔_1,broader
ก๖๔,ก๖๔_2,broader
ก๖๔,ก๖๔_3,broader
ก๖๕,ก๖๕_1,broader
ก๖๕,ก๖๕_2,broader
ก๖๖,ก๖๖_1,broader
ก๖๖,ก๖๖_2,broader
ก๖๖,ก๖๖_3,broader
ก๖๖,ก๖๖_4,broader
ก๖๖,ก๖๖_5,broader
ก๖๖,ก๖๖_6,broader
ก๖๖,ก๖๖_7,broader
ก๖๖,ก๖๖_8,broader
